Title,Gender,Ethnicity,Annual Salary,Years of Employment
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,30160.0,6
"MuniProg, Paraprofessional",M,Black or African American,38480.0,1
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,4
"MuniProg, Paraprofessional",M,Hispanic or Latino,29120.0,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,5
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,11
"MuniProg, Paraprofessional",F,Black or African American,72800.0,3
"MuniProg, Paraprofessional",F,White,28787.2,6
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,8
"MuniProg, Paraprofessional",M,Black or African American,28787.2,7
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",F,Black or African American,32240.0,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,7
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,1
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,13
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,1
"MuniProg, Paraprofessional",F,Black or African American,38480.0,7
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Asian,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,1
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,1
"MuniProg, Paraprofessional",M,Black or African American,38480.0,5
"MuniProg, Paraprofessional",M,Asian,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,4
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,5
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,30160.0,2
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Asian,28787.2,3
Administrative Specialist,M,Black or African American,51542.4,5
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",F,White,28787.2,1
"MuniProg, Paraprofessional",F,Hispanic or Latino,38480.0,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,4
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,5
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,4
"MuniProg, Paraprofessional",F,Black or African American,28787.2,5
"MuniProg, Paraprofessional",M,White,31200.0,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,Asian,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,32240.0,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",F,Asian,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,41600.0,3
"MuniProg, Paraprofessional",F,White,31200.0,6
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Asian,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,38480.0,7
"MuniProg, Paraprofessional",F,White,29598.4,6
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,Asian,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",F,Asian,32344.0,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Asian,48755.2,1
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,7
"MuniProg, Paraprofessional",M,Hispanic or Latino,32240.0,4
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Asian,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,5
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,Asian,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,1
"MuniProg, Paraprofessional",F,Asian,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,38480.0,7
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,5
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,31200.0,7
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,30160.0,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,Asian,29307.2,3
"MuniProg, Paraprofessional",F,White,41600.0,6
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",M,White,28787.2,3
Administrative Specialist,F,White,49608.0,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,38480.0,2
"MuniProg, Paraprofessional",M,White,30160.0,1
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,11
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,11
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",F,White,28787.2,5
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",F,Asian,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,38480.0,6
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,52000.0,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,5
"MuniProg, Paraprofessional",M,Asian,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,1
"MuniProg, Paraprofessional",F,Asian,28787.2,2
"MuniProg, Paraprofessional",M,Asian,28787.2,2
"MuniProg, Paraprofessional",F,Asian,30160.0,4
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",F,Black or African American,38480.0,6
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,10
Administrative Specialist,M,Hispanic or Latino,49940.8,3
"MuniProg, Paraprofessional",F,Black or African American,32240.0,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,Asian,50689.6,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,1
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,9
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,6
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,4
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,30160.0,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,38480.0,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,4
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Asian,28787.2,2
"MuniProg, Paraprofessional",M,Asian,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,30160.0,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,38480.0,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,31200.0,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,White,31200.0,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,38480.0,4
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,38480.0,5
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,4
"MuniProg, Paraprofessional",F,Black or African American,28787.2,7
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,30160.0,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,1
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,38480.0,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,7
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,32240.0,1
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,8
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,6
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,5
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,30160.0,2
"MuniProg, Paraprofessional",F,Black or African American,38480.0,7
"MuniProg, Paraprofessional",F,Hispanic or Latino,30160.0,2
Administrative Specialist,F,Hispanic or Latino,56180.8,20
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,1
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,4
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,5
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,31200.0,2
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,4
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,4
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,47840.0,1
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,31200.0,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,1
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,1
"MuniProg, Paraprofessional",M,Black or African American,28787.2,5
"MuniProg, Paraprofessional",F,Black or African American,28787.2,8
"MuniProg, Paraprofessional",F,White,28787.2,1
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,1
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Asian,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,1
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
Administrative Specialist,F,Black or African American,48339.2,3
"MuniProg, Paraprofessional",M,Black or African American,38480.0,6
"MuniProg, Paraprofessional",F,White,31200.0,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
Administrative Specialist,M,White,45510.4,1
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,30160.0,3
"MuniProg, Paraprofessional",M,White,28787.2,1
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",M,Asian,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,38480.0,7
"MuniProg, Paraprofessional",M,Asian,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,1
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
Administrative Specialist,F,Asian,41579.2,5
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,38480.0,7
"MuniProg, Paraprofessional",F,Black or African American,35360.0,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,8
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,38480.0,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,11
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,5
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,32240.0,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,7
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,1
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,38480.0,7
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,8
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,31200.0,7
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,32240.0,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,38480.0,3
